t (s),V (mV),ln(U)
89.028,12.1064,2.49373423839068
90.029,12.0344,2.48776921540148
91.03,11.9633,2.48184363019608
92,11.8943,2.47605929376772
93.001,11.8237,2.47010599175948
94.002,11.7538,2.4641765925616
95.003,11.6848,2.45828885188371
96.004,11.615,2.45229736622237
97.005,11.5458,2.44632173447243
98.006,11.4779,2.440423447329
99.007,11.4101,2.43449892807747
100.008,11.342,2.42851264959184
101.009,11.2742,2.42251692943462
102.01,11.2075,2.41658319704746
103.011,11.1408,2.41061404520615
104.012,11.0747,2.40466322752819
105.013,11.0091,2.39872220352417
106.014,10.9435,2.392745672702
107.015,10.8795,2.38688028448944
108.016,10.8151,2.38094330577929
109.017,10.7514,2.37503597865229
110.018,10.6875,2.36907483426288
111.019,10.6239,2.36310618003918
112.02,10.5607,2.35713956395996
113.021,10.4978,2.35116571140077
114.023,10.4357,2.34523262021506
115.024,10.3735,2.33925447735106
116.025,10.312,2.33330826563689
117.026,10.2512,2.32739477190262
118.027,10.1901,2.32141666072917
119.028,10.1287,2.31537297833732
120.029,10.0682,2.30938194199432
121.03,10.008,2.30338477316461
122.031,9.94857,2.29742882224903
123,9.89068,2.29159289959053
124.001,9.83165,2.28560677358292
125.002,9.77281,2.2796040398498
126.003,9.71385,2.27355270217369
127.004,9.65611,2.26759087561104
128.005,9.5978,2.26153390554443
129.006,9.54035,2.25553017241825
130.007,9.4828,2.24947963130694
131.008,9.42569,2.24343894020346
132.009,9.36892,2.23739782813443
133.01,9.3121,2.23131462976304
134.011,9.25579,2.22524930164783
135.012,9.19964,2.2191643528546
136.013,9.14329,2.21302027693368
137.014,9.08832,2.2069900726265
138.015,9.03278,2.20086018272886
139.016,8.97719,2.19468691575053
140.017,8.92279,2.18860867795543
141.018,8.86862,2.18251920360878
142.019,8.81501,2.17645595027914
143.02,8.76142,2.17035799226806
144.021,8.70839,2.16428692877273
145.022,8.65505,2.158142965619
146.023,8.60247,2.15204937132509
147.024,8.54933,2.14585291730506
148.025,8.49729,2.13974728913183
149.026,8.44514,2.13359112797907
150.027,8.39384,2.12749810349552
151.028,8.34241,2.12135214345215
152.029,8.29167,2.11525139638652
153.03,8.24111,2.10913504358684
154,8.19223,2.1031861440749
155.001,8.14186,2.09701865514052
156.002,8.09212,2.09089074865674
157.003,8.04243,2.0847312763319
158.004,7.99365,2.07864747649351
159.005,7.94477,2.0725138505451
160.006,7.8958,2.06633097252974
161.007,7.84795,2.06025235119282
162.008,7.80018,2.05414681035235
163.009,7.7521,2.04796377440206
164.01,7.70414,2.04175784670869
165.011,7.65668,2.03557846943321
166.012,7.61013,2.02948025451349
167.013,7.56339,2.02331950238292
168.014,7.51682,2.0171431761856
169.015,7.47018,2.01091909523995
170.016,7.42466,2.00480689239452
171.017,7.37865,1.99859069504996
172.018,7.3329,1.99237107203518
173.019,7.28764,1.98617976246978
174.02,7.24269,1.97999268435247
175.021,7.19726,1.97370039803681
176.022,7.15269,1.96748850972772
177.023,7.10857,1.96130109841096
178.024,7.06414,1.95503128190482
179.025,7.02033,1.94881022547986
180.026,6.9768,1.94259035893064
181.027,6.93342,1.93635319796104
182.028,6.88976,1.93003625132744
183.029,6.84693,1.92380037663114
